Country Code,Country,SDG Region,Sub-region,UNDP Region,Task Force Name,Description of Task Force,Type,Sector,Sector 2,#Men,#Women,Total,%Women,Leader Gender,Woman Leader,Composition Data,Composition Classification,Sources
ITA,Italy,Europe,Southern Europe,OECD,Technical Scientific Committee (Comitato tecnico-scientifico),"The Technical Scientific Committee was originally created in February 2020 by an order from the Head of the Civil Protection Department, and later established by a decree of the Commissioner for the COVID-19 Emergency. It is tasked with advising and supporting coordination activities to overcome the epidemiological emergency. The Committee is composed of experts and high-level government representatives and led by the President of the Superior Health Council of the Ministry of Health. Since it was created, the composition has changed twice, from 7 original members to 20 in April 2020, and finally to 11 in March 2021. ",Decision-Making,Public Health,Public Health,10,2,12,16.67,Man,No,Yes,Majority Men,"https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5432&area=nuovoCoronavirus&menu=vuoto; https://www.gazzettaufficiale.it/eli/id/2020/04/22/20A02260/sg; 
https://tg24.sky.it/cronaca/approfondimenti/cts-chi-sono#19"
JPN,Japan,Asia,Eastern Asia,Asia Pacific,Expert Meeting on Countermeasures against New Coronavirus Infections (新型コロナウイルス感染症対策専門家会議),"The Expert Meeting on Countermeasures against New Coronavirus Infections was created as an advisory body that created in the Coronavirus Infectious Diseases Control Headquarters. The Meeting was composed of experts in various areas of public health from government agencies, universities, and research institutes. The Meeting was disbanded in June 2020 due to criticisms on slow response. ",Expert,Public Health,Public Health,10,2,12,16.67,Man,No,Yes,Majority Men,"https://www.kantei.go.jp/jp/singi/novel_coronavirus/senmonkakaigi/konkyo.pdf; 
https://toyokeizai.net/articles/-/359383"
MRT,Mauritania,Africa,Sub-Saharan Africa,Africa,Interministerial Committee in Charge of COVID-19 Monitoring,The Interministerial Committee in Charge of COVID-19 Monitoring was established under the leadership of the Prime Minister. It is responsible for monitoring the spread of COVID-19 and supporting the Prime Minister in developing public health strategies and policies. Measures taken ranged from the closure of airports to quarantine measures.,Decision-Making,Multi-Sectoral,Multi-Sectoral,25,5,30,16.67,Man,No,Yes,Majority Men,"https://www.scidev.net/afrique-sub-saharienne/news/mauritanie-mesures-precoces-raison-COVID-19-28042020/;
https://www.afro.who.int/news/minister-health-mauritania-speaks-about-efforts-curb-covid-19"
NGA,Nigeria,Africa,Sub-Saharan Africa,Africa,Presidential Task Force for the Control of Coronavirus,"The Presidential Task Force for the Control of Coronavirus was created by the President and is chaired by the Secretary to the Government. The purpose of the Task Force was to coordinate and oversee government efforts to contain COVID-19. Notably, it also has the mandate to keep the public informed about strategic developments and liaises with Nigeria's international partners on COVID-19. It is composed of government officials, including ministers from health, aviation, environment, disaster management, education, and environment. Additionally, there is a WHO representative on the Task Force. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,10,2,12,16.67,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549;
https://statehouse.gov.ng/covid19/members/;
https://statehouse.gov.ng/covid19/objectives/"
ZAF,South Africa,Africa,Sub-Saharan Africa,Africa,Committee of Ministers on COVID-19 Corruption,"The Committee of Ministers on COVID-19 Corruption was created by the President to deal with allegations of corruption associated with the country’s response to the coronavirus pandemic. The Committee will look into corruption in the procurement of goods and services acquired to respond to the COVID-19 pandemic, such as personal protective equipment. The Committee is made up out of several ministers, including the Minister of Finance, Justice and Correctional Services, and Cooperative Governance and Traditional Affairs. All Ministers and Premiers have been requested by the president to provide information to the Committee.",Decision-Making,Other,Other,5,1,6,16.67,Man,No,Yes,Majority Men,https://www.gov.za/speeches/president-cyril-ramaphosa-appoints-committee-focus-alleged-coronavirus-COVID-19-corruption
PAN,Panama,Americas,Latin America and the Caribbean,LAC,Health Advisory Council (Consejo Consultivo de Salud),"The Health Advisory Council's main task is to act as an advisory body to the Chief Executive in the strategies to continue the fight against COVID-19, monitor the traceability of infections, and determine the situation of the areas affected by COVID-19. Based on the results of which the feasibility of reopening the following economic blocks will be considered. The Advisory Council members are experts in the field of medical sciences and have distinguished careers in the public and private sectors. The Minister Health Advisor acts as as technical secretary. ",Expert,Public Health,Public Health,5,1,6,16.67,Man,No,Yes,Majority Men,https://www.presidencia.gob.pa/Noticias/MINSA-presenta-Consejo-Consultivo-de-Salud-para-seguir-lucha-contra-pandemia
GIN,Guinea,Africa,Sub-Saharan Africa,Africa,Scientific Council for Response to the Coronavirus Disease Pandemic (Conseil scientifique de riposte contre la pandémie de lamaladie à COVID-19),"The Scientific Council for Response to the Coronavirus Disease was created to bring together experts to strengthen public health policy measures during COVID-19. The primary aim of the Council is to combat and prevent the spread of COVID-19. It is composed of experts from academia, as well as the medical and scientific community. ",Expert,Public Health,Public Health,14,3,17,17.65,Woman,Yes,Yes,Majority Men,https://www.guineenews.org/guinee-alpha-conde-meuble-le-conseil-scientifique-de-riposte-au-COVID-19/; 
CAN,Canada,Americas,Northern America,OECD,COVID-19 Vaccine Task Force,The COVID-19 Vaccine Task Force includes multidisciplinary experts and industry leaders in the field of vaccines. The Task Force provides insights to help the Government of Canada make evidence‑based decisions during the COVID-19 pandemic. The Task Force focuses on optimizing vaccine production and access. ,Expert,Public Health,Public Health,9,2,11,18.18,Man and Woman (co-chairs),Co-Chair,Yes,Majority Men,"https://nrc.canada.ca/en/corporate/COVID-19-vaccine-task-force;
https://stip.oecd.org/covid/policy-initiatives/covid%2Fdata%2FpolicyInitiatives%2F862"
SWZ,Eswatini,Africa,Sub-Saharan Africa,Africa,National Emergency Management Committee,"The National Emergency Management Committee is a cabinet sub-committee that was created by the Deputy Prime Minister as part of the government response to COVID-19. The Committee is tasked with activities such as coordinating national and regional emergency response, overseeing the activities of the National Emergency Management Task Force, and communicating between the national government and the international community. It is composed of ministers across several sectors of government.",Decision-Making,Multi-Sectoral,Multi-Sectoral,9,2,11,18.18,Man,No,Yes,Majority Men,http://www.gov.sz/index.php/latest-news/204-latest-news/2408-national-emergency-management-coordination-structures-2
LBY,Libya,Africa,Northern Africa,Arab States,Medical Advisory Committee for Coronavirus ( لجنة طبية استشارية   ),"The Medical Advisory Committee for Coronavirus was created to supervise the diagnosis, isolation and treatment of suspected COVID-19 cases. It also supervises and controls medical, health and pharmaceutical preparations, equipment, and supplies. The Committee is composed of scientific and public health experts.",Expert,Public Health,Public Health,9,2,11,18.18,Woman,Yes,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549

https://akhbarlibya24.net/2020/03/16/%D8%A7%D9%84%D9%82%D8%A7%D8%A6%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D9%85-%D9%8A%D8%B4%D9%83%D9%84-%D9%84%D8%AC%D9%86%D8%A9-%D8%B9%D9%84%D9%8A%D8%A7-%D9%84%D9%85%D9%83%D8%A7%D9%81%D8%AD%D8%A9-%D9%88%D8%A8/"
MMR,Myanmar,Asia,South-eastern Asia,Asia Pacific,"National Central Committee for COVID-19 Prevention, Control, and Treatment","The National Central Committee for COVID-19 Prevention, Control, and Treatment was formed by the Office of the President in January 2020 to quickly respond to infections in Myanmar, in accordance with the guidelines, besides looking into surveillance, preparations, and treatment. The State Counsellor directed the formation of the Central Committee which will work towards preventing any infections and deal with the repercussions of any infection. ",Decision-Making,Public Health,Public Health,18,4,22,18.18,Woman,Yes,Yes,Majority Men,"https://insights.careinternational.org.uk/media/k2/attachments/CARE_COVID-19-womens-leadership-report_June-2020.pdf; 
https://web.archive.org/web/20201113053954/https://www.statecounsellor.gov.mm/en/node/2887"
TGO,Togo,Africa,Sub-Saharan Africa,Africa,Sectorial Unit for the Management of the COVID-19 Crisis,"The Sectoral Unit for the Management of COVID-19 was formed by the Ministry of Health. The Unit is responsible for ensuring the management of response actions to the pandemic and will provide leadership, establish priorities and validate contingency and action plans. The Unit includes public health and medical experts as well as civil society representatives. ",Expert,Public Health,Public Health,9,2,11,18.18,Woman,Yes,Yes,Majority Men,"https://www.lenouveaureporter.com/coronavirus-de-nouvelles-tetes-designees-pour-la-gestion-de-la-crise/;
https://letempstg.com/2020/03/24/coronavirus-creation-dune-cellule-de-gestion/"
KEN,Kenya,Africa,Sub-Saharan Africa,Africa,National Emergency Response Committee on Coronavirus,"The National Emergency Response Committee on Coronavirus was created through an executive order by the President. The Committee is composed of high level government officials across ministries, including health, transport, and finance. The goals of the task force are to coordinate COVID-19 preparedness, prevention, and response by enhancing the country's public health capacities, conducting economic impact assessments, and helping to coordinate local and international assistance efforts with development partners and stakeholders, among other things. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,17,4,21,19.05,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549;
https://www.health.go.ke/wp-content/uploads/2020/06/Executive-Order-No-2-of-2020_National-Emergency-Response-Committee-on-Coronavirus-28.2.20.pdf;
https://www.the-star.co.ke/news/2020-02-28-uhuru-forms-taskforce-to-fight-coronavirus/"
TUN,Tunisia,Africa,Northern Africa,Arab States,Scientific Committee to Fight Coronavirus (Comité scientifique de lutte contre le coronavirus),"The Scientific Committee to Fight Coronavirus was established March 5, 2020 and is chaired by the Minister of Health. Committee members include doctors and professors specializing in the areas of medicine, biology, anthropology, sociology, economics and other related topics. The Committee is tasked with monitoring the Ministry of Health's strategy in terms of the the epidemiological situation. This includes monitoring, prevention, screening, use of resources, and the vaccination campaign. It also provide recommendations regarding lockdown measures. ",Expert,Public Health,Public Health,17,4,21,19.05,Man,No,Yes,Majority Men,"https://lapresse.tn/72158/eclaircissements-concernant-lorganisation-des-travaux-du-comite-scientifique-de-lutte-contre-le-coronavirus/;
https://www.businessnews.com.tn/nouvelle-composition-du-comite-scientifique-en-arge-de-la-lutte-contre-le-coronavirus,520,107030,3;
https://www.africanews.com/2021/08/06/tunisian-president-appoints-ali-mbrabet-as-new-health-minister/"
CAF,Central African Republic,Africa,Sub-Saharan Africa,Africa,Crisis Committee for Covid-19,"The Crisis Committee for COVID-19 was established in March 2020 by Presidential Decree. It coordinates and implements all actions to prevent and fight against COVID-19 throughout the country. Additionally, it assists in mobilizing resources and communicating public health messages to the public. It comprises of ministers of government across several sectors and works in conjunction with the Technical Committee, the Strategies and Methods Group, and the National Technical Coordination Group. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,32,8,40,20.00,Man,No,Yes,Majority Men,"Information provided by UNDP/UN Women Country Office; 
https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/19012021_cr_reunion_operationnelle_covid-19_final.pdf;
"
CIV,Côte d'Ivoire,Africa,Sub-Saharan Africa,Africa,Operational Monitoring Committee,"The Operational Monitoring Committee was instituted to monitor the Prime Minister's COVID-19 Response Plan. The Committee monitors the contribution of each actor involved, including government institutions, and technical and financial partners. It considers the financial and material resources invested in the fighting against COVID-19 and the evolution of the pandemic in the country.",Decision-Making,Multi-Sectoral,Multi-Sectoral,20,5,25,20.00,,Missing,Yes,Majority Men,"Information provided by UNDP/ UN Women Country Office; 
http://info-covid19.gouv.ci/assets/fichiers/Communique_du_Conseil_National_de_Securite_du_Jeudi_11_juin_2020.pdf;
https://projectperformancemonitoring.org/"
JAM,Jamaica,Americas,Latin America and the Caribbean,LAC,COVID-19 Economic Recovery Task Force: Cruise Industry Subcommittee,The focus of the Cruise Industry Subcommittee was to identify changes that need to be implemented to restart of activity in the cruise industry. The members were chair people of various cruise companies. The Subcommittee ended in June 2020.,Expert,Economic,Multi-Sectoral,8,2,10,20.00,Man,No,Yes,Majority Men,https://mof.gov.jm/documents/documents-publications/document-centre/file/2431-COVID-19-economic-recovery-task-force-rebuild-jamaica.html
MAR,Morocco,Africa,Northern Africa,Arab States,Ad Hoc National Scientific Committee for the Development of the Vaccination Strategy against Sars-CoV-2,"The Ministry of Health created an ad hoc scientific committee, the Anti-COVID Vaccination Strategy Committee, to focus on the COVID-19 vaccination strategy. The Committee is comprised of nine experts and six members from the Ministry of Health.",Expert,Public Health,Public Health,12,3,15,20.00,Man,No,Yes,Majority Men,https://www.medias24.com/voici-la-liste-des-membres-du-comite-national-scientifique-de-vaccination-anti-covid-15840.html
NZL,New Zealand,Oceania,Australia and New Zealand,OECD,COVID-19 Leadership Team,"The COVID-19 Leadership Team was activated on 25 March with the National Crisis Management Centre with the Declaration of Emergency issued by Prime Minister. The Team was activated to coordinate New Zealand's National response to COVID-19. The leadership team was the entirely made up of senior government officials, who led several interministerial subcommittees. The Crisis Management Centre was deactivated in June 2020. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,4,1,5,20.00,Man,No,Yes,Majority Men,"https://covid19.govt.nz/assets/resources/legislation-and-key-documents/COVID-19-national-action-plan-2-issued-1-April.pdf; 
https://www.brookings.edu/wp-content/uploads/2021/01/MENA-COVID-19-Survey-New-Zealand-.pdf"
NZL,New Zealand,Oceania,Australia and New Zealand,OECD,COVID-19 Surveillance and Testing Strategy Group,"On August 26 2020, Ministry of Health of New Zealand appointed the COVID-19 Surveillance and Testing Strategy Group. Composed of experts from the public health and business sectors, the main task of the Group was to supervise the implementation process of the New Zealand COVID-19 Surveillance Plan and Testing Strategy and advise the Minister of Health on the latter. The Group also aimed to make sure that testing was accessible for Mãori and Pasifika people in particular. On September 22, 2020, the Group was dissolved.",Expert,Public Health,Public Health,4,1,5,20.00,Man and Woman (co-chairs),Co-Chair,Yes,Majority Men,"https://www.coronanet-project.org/; 
https://www.beehive.govt.nz/release/covid-19-testing-oversight-group-and-terms-reference"
NZL,New Zealand,Oceania,Australia and New Zealand,OECD,"COVID-19 Independent Continuous Review, Improvement and Advice Group","In March 2020, the COVID-19 Independent Continuous Review, Improvement and Advice Group was created to provide expertise to the Minister of Health of New Zealand and ensure that New Zealand's COVID-19 response in the public health sector continued to develop and efficiently adapt with a focus on improvement. Its responsibility also includes advising on scenario preparation and preparedness. The Group is composed of experts from the public health and business sectors.",Expert,Public Health,Public Health,4,1,5,20.00,Man,No,Yes,Majority Men,"https://www.coronanet-project.org/; 
https://covid19.govt.nz/alert-levels-and-updates/latest-updates/independent-group-to-oversee-continual-improvement-in-covid-19-response"
UGA,Uganda,Africa,Sub-Saharan Africa,Africa,National Response Fund to COVID-19,"The National Response Fund to COVID-19 is the institution created to collect private contributions to fund the various sub-commitees created for the response and coordination of COVID-19 response efforts. The mandate of the Committee is to oversee resource mobilization for the fight against COVID-19 and to direct these funds to the benefit of vulnerable populations, including the purchase of medical supplies, transportation for health workers, and foodstuffs. The Committee was created to allow for accountability and transparency of COVID-19 spending. ",Decision-Making,Economic,Multi-Sectoral,12,3,15,20.00,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/bmjgh/5/10/e003549.full.pdf;
https://www.ucc.co.ug/wp-content/uploads/2020/05/Press-Release-Covid.pdf
https://thinkwell.global/wp-content/uploads/2020/09/Uganda-COVID-19-Case-Study-_18-Sept-20201.pdf;
https://www.independent.co.ug/rugunda-calls-for-transparency-in-managing-covid-19-fund/;
"
SWZ,Eswatini,Africa,Sub-Saharan Africa,Africa,National Emergency Task Force,"The National Emergency Task Force is responsible for implementing emergency plans, procedures and coordinating response activities. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,23,6,29,20.69,Man,No,Yes,Majority Men,"http://www.gov.sz/index.php/latest-news/204-latest-news/2408-national-emergency-management-coordination-structures-2;
https://disasterlaw.ifrc.org/sites/default/files/media/disaster_law/2021-03/IFRC%20Emergency%20Decree%20Research%20-%20Eswatini%20-v.2%20CLEAN.pdf"
PRT,Portugal,Europe,Southern Europe,OECD,National Council of Public Health (Compete ao Conselho Nacional de Saúde (CNS)),"The National Council of Public Health was created by the Government of Portugal for ​​prevention and control of communicable diseases, and for analysis and assessment of serious situations, including large-scale epidemic outbreaks and pandemics. The Council includes representatives from the public, private and social sectors, including academic and scientific areas. It aims for a comprehensive and active response to COVID-19. ",Decision-Making,Public Health,Public Health,23,6,29,20.69,Man,No,Yes,Majority Men,"https://gh.bmj.com/content/5/10/e003549;
https://www.sns.gov.pt/noticias/2020/03/17/conselho-nacional-de-saude-publica/;
http://www.cns.min-saude.pt/2017/09/27/membros/ "
COD,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Africa,Presidential Task Force (Task force présidentielle),"The Presidential Task Force was created by the President on May 2, 2020. It is tasked with proposing multisectoral measures for COVID-19 prevention and response. Moreover, it assesses the political, socio-economic, security and other impacts of the pandemic. The Task Force is made of government officials and public health experts, and is led by a bureau – composed of a Coordinator, a Deputy Coordinator, a Rapporteur and a Deputy Rapporteur. In addition to its permanent members, the Task Force may call upon the expertise of any person whose technical and professional skills may contribute to the achievement of its mission. It meets at least once a week and upon request of the majority of its members or the President of the Republic, to whom it reports on its activities during debriefing sessions. The Task Force’s duration is linked to the end of the COVID-19 pandemic in the country. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,19,5,24,20.83,Man,No,Yes,Majority Men,"https://presidence.cd/uploads/files/ORD%20N%C2%B020-036%20DU%2002%20MAI%202020%20PORTANT%20CREATION,ORGANISATION%20ET%20FONCTIONNEMENT%20D'UNE%20COMMISSION%20AD%20HOC%20DENOMMEE%20TASK%20FORCE%20PRESIDENTIELLE.pdf; 
https://www.presidence.cd/uploads/files/ORD%20N%C2%B020-037%20DU%2002%20MAI%202020%20PORTANT%20NOMINATION%20DES%20MEMBRES%20DE%20LA%20TASK%20FORCE%20PRESIDENTIELLE.pdf; 
https://www.nomos-elibrary.de/10.5771/2363-6262-2021-1-82.pdf?download_full_pdf=1"
ITA,Italy,Europe,Southern Europe,OECD,Committee of Experts in Economic and Social Matters (Comitato di esperti in materia economica e sociale),"The Committee of Experts in Economic and Social Matters was established by the Italian Prime Minister to propose a series of socio-economic measures amidst the pandemic. More specifically, measures to counter the COVID-19 emergency and those aimed at the gradual recovery of various sectors targeting social, economic and productive activities. In addition, the Committee was tasked with identifying new organizational and relational models that take into account COVID-19 containment and prevention needs. The Committee operates in coordination with the Technical Scientific Committee and is led by the Minister for Technological Innovation and Digital Transition. Among its members are high-level public officials and experts from economic and social fields. ",Decision-Making,Economic,Multi-Sectoral,15,4,19,21.05,Man,No,Yes,Majority Men,"https://www.governo.it/sites/new.governo.it/files/documenti/documenti/Notizie-allegati/covid-19/Dpcm_20200410_ComitatoEsperti-txt.pdf; 
https://www.ucl.ac.uk/bartlett/public-purpose/news/2020/apr/iipp-advise-italian-government-industrial-strategy-economic-recovery-post-COVID-19;"
JAM,Jamaica,Americas,Latin America and the Caribbean,LAC,COVID-19 Economic Recovery Task Force,"The COVID-19 Economic Recovery Task Force was established on April 27, 2020 under the order of the Prime Minister. It is a multi-sectoral task force that aims to prepare businesses for life with COVID-19, promote the recovery of lost jobs, generate economic growth, and promote sustainable economic recovery. It helped to coordinate the work of several subcommittees focused on specific sectors of the economy, with members from both the public and private sector, as well as civil society. ",Decision-Making,Economic,Multi-Sectoral,22,6,28,21.43,Man,No,Yes,Majority Men,https://gh.bmj.com/content/5/10/e003549 ; https://jis.gov.jm/COVID-19-economic-recovery-task-force-establised/ ;  https://mof.gov.jm/downloads/programmes/economic-recovery/Rebuild%20Jamaica_%20COVID-19%20Economic%20Recovery%20Task%20Force%20Report%20FINAL.pdf
ISR,Israel,Asia,Western Asia,OECD,Professional Coronavirus Cabinet,"Within the framework of the national programme against COVID-19, called Magen Israel (""Shield for Israel""), the Professional Coronavirus Cabinet was formed to mobilise experts and experienced professionals from the public health sector. The Cabinet included members from various healthcare organisations and medical centres. The main responsibility of the Cabinet was to advise and assist government authorities in leading national efforts against COVID-19.",Decision-Making,Public Health,Public Health,11,3,14,21.43,Man,No,Yes,Majority Men,"https://corona.health.gov.il/en/magen-israel/; 
https://govextra.gov.il/ministry-of-health/magen-israel/the-cabinet/"
COG,Congo,Africa,Sub-Saharan Africa,Africa,Task-Force on the Economic and Social Impact of Coronavirus (Task-Force sur l'impact economique et social du Coronavirus),"On March 18, the president of the Republic of Congo announced a decree was passed establishing a task force with the objective to inform high authorities about the consequences of COVID-19 on the national economy and society. It is a high level committee with ministers from several government ministries including commerce, interior, foreign affairs and defense. ",Decision-Making,Economic,Multi-Sectoral,11,3,14,21.43,Man,No,Yes,Majority Men,"https://www.coronanet-project.org/;
https://economie.gouv.cg/sites/default/files/78656.pdf;
https://www.adiac-congo.com/content/covid-19-une-task-force-mise-en-place-pour-evaluer-limpact-de-lepidemie-114431"
COL,Colombia,Americas,Latin America and the Caribbean,LAC,Advisory Committee for Vaccination against COVID-19 (Comité asesor para el proceso estratégico de inmunización de la población colombiana frente al COVID-19),"The Advisory Committee for Vaccination was created in July 2020 by the Ministry of Health to advise the government on decisions related to acquiring COVID-19 vaccines. The Committee is chaired by the Minister of Health, and contains several other government representatives such as the Secretary General of the Health Ministry, the Director of the National Institute of Health, the Director of the National Institute for Food and Drug Surveillance, and the Director of Epidemiology and Demography. ",Decision-Making,Public Health,Public Health,7,2,9,22.22,Man,No,Yes,Majority Men,"Information provided by UNDP/UN Women CO; 
https://www.elespectador.com/noticias/salud/el-comite-que-asesorara-a-colombia-en-la-busqueda-de-una-vacuna-para-el-covid-19/"
LBN,Lebanon,Asia,Western Asia,Arab States,Technical Taskforce of Corona in Pregnancy,"Director General of the Ministry of Public Health created the Technical Taskforce of Corona in Pregnancy to monitor the relationship between pregnancy and COVID-19. The Committee consists members of the Ministry of Public Health, as well of representatives from obstetrics and gynecology offices in universities, hospitals and scientific bodies. Additional responsibilities of this Committee include elaborating standard operating procedures and protocols for service providers, developing training resources for doctors and pregnant women, enhancing capacities for health care front line workers, and producing awareness material and messages for pregnant women. The Committee works alongside governmental health agencies, and is supported by the UN Population Fund and the WHO.",Decision-Making,Public Health,Public Health,7,2,9,22.22,Man,No,Yes,Majority Men,https://www.aljoumhouria.com/ar/news/520995/%D9%84%D8%AC%D9%86%D8%A9-%D8%AA%D9%82%D9%86%D9%8A%D8%A9-%D8%AA%D8%B9%D9%86%D9%89-%D8%A8%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%A9-%D8%A7%D9%84%D8%AD%D8%A7%D9%85%D9%84-%D9%81%D9%8A-%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7; https://moph.gov.lb/userfiles/files/HealthCareSystem/Mother%26ChildHealth/Protocols%20of%20the%20Treatment/Quick%20QA%20%20refer%20COVID-19%20for%20ObGyn%20%20%20%20%20%20April%207%2020%20-%20Eng%20(1).pdf
ITA,Italy,Europe,Southern Europe,OECD,Data Task Force to address the Covid-19 Emergency (Task Force dati per l'emergenza Covid-19),"The Data Task Force to address the Covid-19 Emergency was created by the Minister for Technological Innovation and Digitization, in agreement with the Ministry of Health. It consists of a multidisciplinary group of 74 experts working pro bono to evaluate and propose data-driven technological solutions for the management of the health, economic and social emergency linked to the spread of COVID-19. Among the task force members, six representatives from different public institutions, e.g. the Italian Data Protection Authority and the Ministry of Health. The Task Force supports public decision-making in the operational and technological choices related to the COVID-19 emergency, carrying out study and analysis activities. To achieve its goals, the activities of the task force are organized into eight independent subgroups with different areas of competence among which, the use of Big Data and AI for policies, legal profiles of emergency-related data management, focus on economic and social impacts, etc. The Task Force is led by the “Coordination” subgroup.",Decision-Making,Other,Other,57,17,74,22.97,Man and Woman (co-chairs),Co-Chair,Yes,Majority Men,"https://www.startmag.it/innovazione/task-force-tech-anti-COVID-19-ecco-i-74-esperti-del-governo-un-po-troppi/;
https://innovazione.gov.it/dipartimento/cosa-facciamo/task-force-covid-19/; 
https://github.com/taskforce-covid-19/documenti/;
https://www.ilgiornale.it/news/politica/i-membri-delle-principali-task-force-governo-1909583.html; 
https://doi.org/10.1080/23248823.2021.1916858"
JEY,Jersey,Europe,Northern Europe,OECD,Scientific and Technical Advisory Cell on COVID-19 (STAC),"The Scientific and Technical Advisory Cell (STAC) on COVID-19 provides health, and technical advice to the government and Gold Commanders during emergencies. STAC can be activated for emergencies and deactivated once recovered. STAC was activated for COVID-19 in April 2020. For COVID-19 response, there are 15 members including the medical director from public health agencies, other health experts, and representatives from other government sectors, including planning and innovation. STAC was put in place to guide ministers on the exit strategy for COVID. The advice of STAC has come from epidemiological evidence such as infection rates, contract tracing of positive cases, and emerging clinical research. ",Decision-Making,Public Health,Public Health,10,3,13,23.08,Man,No,Yes,Majority Men,"https://www.gov.je/Health/Coronavirus/ScientificAndTechnicalAdvisoryCell/Pages/AboutScientificAndTechnicalAdvisoryCell.aspx; 
https://www.gov.je/SiteCollectionDocuments/Health%20and%20wellbeing/ID%20Covid%2019%20STAC%20terms%20of%20reference%20updated%20September%202021.pdf;
https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/ID%20COVID%2019%20Strategy%2020200602%20CB.pdf; 
https://www.gov.je/News/2021/Pages/COVIDReconnectionUpdate.aspx "
ASM,American Samoa,Oceania,Polynesia,Asia Pacific,Coronavirus Working Group,"On March 10, 2020, the Coronavirus Working Group of the American Samoa was created by government to support to the Coronavirus Task Force in performing research, drafting, documentation and all other tasks assigned by the Coronavirus Task Force. The Working Group was reconfigured at the end of Governor Lolo M. Moliga's term on January 3, 2021.",Decision-Making,Multi-Sectoral,Multi-Sectoral,10,3,13,23.08,Man,No,Yes,Majority Men,https://oese.ed.gov/files/2020/11/AS-Gov-COVID-Groups.pdf
EGY,Egypt,Africa,Northern Africa,Arab States,Supreme Committee for the Coronavirus Crisis Management,"The Supreme Committee for the Coronavirus Crisis Management, chaired by the Prime Minister, is responsible for consulting all ministries and relevant authorities in its response to COVID-19. Members includes government ministers from various sectors. The Committee considers topics including school and event closures, public health guidelines and responses, and crisis management. ",Decision-Making,Multi-Sectoral,Multi-Sectoral,13,4,17,23.53,Man,No,Yes,Majority Men,"https://almalnews.com/%D8%A7%D9%84%D9%84%D8%AC%D9%86%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D9%8A%D8%A7-%D9%84%D8%A3%D8%B2%D9%85%D8%A9-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D8%AA%D8%AC%D8%AA%D9%85%D8%B9-%D8%A7%D9%84/; 
https://www.sis.gov.eg/Story/204965/%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%A7%D9%84%D8%AA%D9%8A-%D8%AA%D9%85-%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D9%81%D9%82-%D8%B9%D9%84%D9%8A%D9%87%D8%A7-%D9%81%D9%8A-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9-%D8%A7%D9%84%D9%84%D8%AC%D9%86%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D9%8A%D8%A7-%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A3%D8%B2%D9%85%D8%A9-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7?lang=ar;
https://www.brookings.edu/wp-content/uploads/2021/01/MENA-Covid-19-Survey-Egypt-January-28-2021-1.pdf"
CHE,Switzerland,Europe,Western Europe,OECD,Swiss National Covid-19 Science Task Force (SN-STF) - Expert Panel,"The Swiss National COVID-19 Science Task Force - Expert Panel consists of medical experts who are responsible for providing indpendent medical advice to the government on COVID-19 response. The task force has several components and the overall size and structure has varied since it was created. It contains experts on various topics such as education, data science, digitalization, economics, and various aspects of public health, including pediatrics, mental health, and immunology. The Expert Team works with the Management Team to respond to the most pressing COVID-19 related issues. Its form can adapt based on new needs as they emerge. ",Expert,Public Health,Public Health,16,5,21,23.81,,Missing,Yes,Majority Men,"https://sciencetaskforce.ch/en/organisation-expert-groups/;
https://www.bag.admin.ch/bag/en/home/das-bag/aktuell/medienmitteilungen.msg-id-79879.html"
