Country Code,Country Name,Region,Subregion,Policy Measure Category,Policy Measure Type,Policy Measure Sub-Type,Policy Measure Description,Source,Addresses VAWG,Targets Women's Economic Security,Directly supports unpaid care,Gender Sensitive,Environmental relevance,Positive for environment,Gender-Green Nexus
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Social protection,Care services,Long-term care for older persons and care for persons with disabilities,"On the 25 June the Government announced that two billion items of personal protective equipment (PPE) have been delivered to NHS and social care staff across England since the start of the COVID-19 outbreak. The normal supply chain for PPE was designed to accommodate delivery to 226 NHS trusts, but essential PPE supplies are now being supplied to 58,000 different settings, including care homes, hospices and community care organisations. This measure supports care strenghteing the long term care sector.",https://www.gov.uk/government/news/major-milestone-hit-as-2-billion-items-of-ppe-delivered,NO,NO,YES,YES,YES,NO,NO
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Social protection,Care services,Long-term care for older persons and care for persons with disabilities,"In March 2020 the Department of Health and Social Care announced £2.9 billion of funding to strengthen care for the vulnerable. This included £1.6 billion for local authorities to help them respond to COVID-19 pressures across all the services they deliver, including adult social care, and £1.3 billion to enhance discharge from hospitals, to help people return to community settings. In April  the Deparrtment of Health and Social Protection announced a further £1.6 billion for local government and our detailed adult social care action plan. The action plan set out how the government and other parts of the system are supporting people who receive adult social care, both at home and in other settings. In May an additional £600 million to support providers through a new adult social care infection control fund was announced.",https://www.gov.uk/government/publications/coronavirus-covid-19-support-for-care-homes/coronavirus-covid-19-care-home-support-package,NO,NO,YES,YES,NO,NO,NO
DZA,Algeria,Africa,Northern Africa,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Bonus payment to public workers in the health sector, mobilized within the framework of the prevention and the fight against the spread of the coronavirus. (16.5bn dinars). The premium is paid monthly in lump sums ranging from 10,000 DA for the benefit of administrative and support staff, 20,000 DA for paramedical staff and 40,000 DA for medical staff. It is served for a renewable period of three (3) months. This measure began in February 15, 2020. In Algeria, women comprise slightly more than 60% of the workers employed in the healthcare sector.","https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2046;
https://www.social-protection.org/gimi/ShowWiki.action?id=3417&lang=EN;
https://www.aps.dz/en/health-science-technology/33776-covid-19-extraordinary-bonus-for-public-healthcare-staff;
https://apps.who.int/gho/data/node.main.HWFGRP_BYSEX?lang=en",NO,YES,NO,YES,NO,NO,NO
DZA,Algeria,Africa,Northern Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"A supplementary finance law (SFL) enacted on June 4, 2020 included provisions amounting to 70 billion DZD to mitigate the health and economic impacts of the COVID-19 crisis. For the health sector, this included 3.7 billion DZD for medical supplies, 16.5 billion DZD for bonus payments to health workers, and 8.9 billion DZD for the health sector's development. For the economic impact, the law included 20 billion DZD for allowances to the unemployed and 11.5 billion DZD for transfers to poor households. 11% of women in Algeria are employed in the healthcare sector, compared to only 2% of men. ",https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#A,NO,YES,NO,YES,NO,NO,NO
AGO,Angola,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"FADA Line: Credit line of 26.4 billion AOA provided by FADA (Fundo de Apoio ao Desenvolvimento Agrário) to finance family agribusiness. Agriculture employs 56% of women in Angola, compared to only 44% of men.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2 ;
https://www.minfin.gov.ao/PortalMinfin/#!/sala-de-imprensa/noticias/7462/publicado-decreto-presidencial-com-as-medidas-excepcionais-para-aliviar-os-efeitos-do-covid-19;
https://prodesi.ao/financiamento/medidas-de-alivio-economico#",NO,YES,NO,YES,YES,NO,NO
AGO,Angola,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"Support lines to agricultural sector: BDA Line I: Credit line of 15 billion AOA made available by the BDA to finance the purchase of commercial operators and distribution to national producers of referenced products. - BDA Line II: Credit line of 13.5 billion AOA granted by the BDA to finance purchases by family farmers' cooperatives and small and medium-sized agribusiness entrepreneurs from national suppliers of improved seeds of cereals, vegetables and tubers, fertilizers, pesticides, and vaccines, and providers of agricultural soil preparation and correction services, prioritizing products made in Angola. -  BDA Line III: Credit line of 750 million AOA granted by the BDA to finance projects (up to 50 million AOA) to modernize and expand the activities of up to 15 cooperatives for each province, in the agriculture and fishery sectors. Agriculture employs 56% of women in Angola, compared to only 44% of men.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2 ;
https://www.minfin.gov.ao/PortalMinfin/#!/sala-de-imprensa/noticias/7462/publicado-decreto-presidencial-com-as-medidas-excepcionais-para-aliviar-os-efeitos-do-covid-19;
https://prodesi.ao/financiamento/medidas-de-alivio-economico#",NO,YES,NO,YES,YES,NO,NO
AGO,Angola,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Credit/loan deferral, restructuration or renegotiation",Not specific,"Support for the capitalization of cooperative companies in the primary sector: Support in the amount of 4 billion AOA made available by FACRA to make investments in the equity of agricultural, livestock and fisheries cooperatives, participating in the payment of the share of equity required under the loans granted by the BDA. Agriculture employs 56% of women in Angola, compared to only 44% of men.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2 ;
https://prodesi.ao/financiamento/medidas-de-alivio-economico#;",NO,YES,NO,YES,YES,NO,NO
BEN,Benin,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"The authorities announced 74 billion XOF (USD 124 million) stimulus package to support formal enterprises, craftsmen and small service trades in the informal sector, in addition to the most vulnerable segments of the population. Measures include in the package are expected to cover 70% of the gross salary of all formal sector employees over the period of 3 months. It provides a full coverage of electricity cost for 3 months for hotels and travel agencies (in addition to a general subsidy, applied to all citizens, on electricity and water tariffs). In Benin, 98.5% of women work in the informal sector. ","https://www.rfi.fr/fr/podcasts/20200615-le-bénin-déploie-à-son-tour-plan-économique-anti-covid;
https://oecd.github.io/OECD-COVID-action-map/#Fiscalmeasures ",NO,YES,NO,YES,YES,NO,NO
BEN,Benin,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"A support of 4.98 billion XOF intended for artisans and those exercising small trades. It takes into account 55,000 people from these categories (activities such as: hairdressing, sewing, welding, carpentry, small saleswomen, etc.) who have registered on the digital platform open for this purpose, as well as in town halls and promotion centers. social. Funds distributed directly to those registered as grants. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,NO,NO,NO
BWA,Botswana,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"In September 2020 was approved a supplementary budget for the Industry Support Facility, as well as separate bailouts for Air Botswana, the Botswana Meat Commission and others.  Under the facility, agriculture has been allocated 100 million BWP to be administered by the National Development Bank (NDB) while the Citizen Entrepreneurial Development Agency (CEDA) will manage 300 million BWP for small businesses. The NDB will also manage 300 million BWP for general businesses and 200 million BWP for tourism enterprises, while the Botswana Development Corporation (BDC) will administer 300 million BWP for large enterprises. Loans under the facility will carry a 30-month tenure with a six-month grace period. Loans for enterprises in agriculture and tourism will be interest-free and open to both citizen and non-citizen businesses, while those for general business will be linked to the bank rate of 3.75 percent. Those loans managed by the BDC will have an interest rate not exceeding the prime rate, which is currently 5.25 percent, and will be open to citizen and non-citizen enterprises. For every one man in Botswana employed in accommodation and food services, there are 2.6 women. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
BWA,Botswana,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"In November 2020, Botswana unveiled a 115 million BWP COVID-19 financial bailout for firms affected by COVID-19. Support includes: 100 million BWP to support informal traders. This includes a once off 1,000 BWP grant. The remaining two thirds of the informal sector support would be in the form of infrastructure such as the construction of market stalls; 300 million BWP of the funds would be administered by CEDA and would support small, medium and micro enterprises (SMMEs) in sectors such as the creative industry, agriculture, technology and innovation, manufacturing, tourism, construction, mining and energy. The assistance is targeting registered SMMEs with turnover of over 10 million BWP per year and the loans would be equivalent to 10 per cent of their annual turnover; The BDC is expected to administer 300 million BWP set aside to assist large-scale corporations with working capital and development funding. These large industries with a turnover of  50 million BWP or above would qualify for a maximum 25 million loan BWP. For every one man in Botswana employed in accommodation and food services, there are 2.6 women.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
ttp://www.apanews.net/en/news/botswana-unveils-115m-covid-19-financial-bailout-for-firms",NO,YES,NO,YES,YES,NO,NO
BFA,Burkina Faso,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"Burkina Faso has adopted multiple tax measures in the fight against COVID including: (i) VAT exemption and exoneration of custom duties for pharmaceutical products used in the fight against the pandemic; (ii) Tax exemption of microbusinesses in the informal sector; (iii) The suspension of the Employers' Apprenticeship Tax (TPA) on wages for the benefit of companies in the passenger transport and hotel industry; (iv)  The suspension of proceedings relating to the recovery of tax debts and the collection of the flat-rate minimum for sectors including transport, hotel and catering. In Burkina Faso the accommodation and food service activities sector accounts of 7.8% in of women's employment compared to 1.7% of men's. 97.7% of women are employed in the informal sector. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; https://www.burkina24.com/2020/04/02/covid-19-le-burkina-prevoit-pres-de-394-milliards-de-f-cfa-pour-faire-face-a-la-crise/,NO,YES,NO,YES,YES,NO,NO
BFA,Burkina Faso,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"The 25% reduction in the business license for the benefit of companies in the passenger transport, hotel and tourism sectors. Companies that have already paid the business license can opt for compensation with other local taxes. Tourism related activities, such as accommodation and food services account for 7.8% in of women's employment in Burkina Faso compared to 1.7% of men's. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; https://www.burkina24.com/2020/04/02/covid-19-le-burkina-prevoit-pres-de-394-milliards-de-f-cfa-pour-faire-face-a-la-crise/,NO,YES,NO,YES,YES,NO,NO
BFA,Burkina Faso,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,Application of a 10% VAT reduced rate for hotel and restaurants. Accommodation and food services account for 7.8% in of women's employment in Burkina Faso compared to 1.7% of men's.  ,https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; https://www.burkina24.com/2020/04/02/covid-19-le-burkina-prevoit-pres-de-394-milliards-de-f-cfa-pour-faire-face-a-la-crise/,NO,YES,NO,YES,YES,NO,NO
BDI,Burundi,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"Burundi is supporting salaries of most affected sectors by the pandemic (e.g. hotels). Taxes owed will be forgiven for hotels and industries that will not be able to pay. Subsidies are planned to help pay salaries in these sectors and avoid massive layoffs. In addition, the salaries for suspended government services such as those provided at the Melchior Ndadaye International Airport during its closure continued to be paid by the government. For every one man employed in accommodation and food services in Burundi, there are 2.4 women. ","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://www.sipotra.it/wp-content/uploads/2020/05/POLICY-RESPONSES-TO-COVID-19.pdf",NO,YES,NO,YES,YES,NO,NO
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Labour market,Activation measures and enterprise development,Not specific,"National programme to accelerate the transition from informal to formal economy, 2020-2023 (Programa Nacional Integrado para a Aceleração da Transição da Economia Informal à Formal). In the context of national post-COVID 19 economic recovery plans, the Ministry of Finance launched an integrated national program to boost formal economic activity between 2020 and 2023. By 2023, it aims to formalise around 33.200 informal production units. The programme adopts a gender perspective in its analysis and integrates specific women’s empowerment objectives: it plans to provide women training in business development and promote women’s roles in the SMSEs it intends to formalise. ","Information provided by UN Women and/or UNDP country office;
https://www.cplp.org/Admin/Public/DWSDownload.aspx?File=%2FFiles%2FFiler%2F1_CPLP%2FCooperacao%2FWEBINARIO-Igualdade-Genero-jul-2020%2FCabo-Verde_TRANSICAO-ECON-INFORMAL-A-FORMAL-C_note_vf.pdf",NO,YES,NO,YES,NO,NO,NO
CPV,Cabo Verde,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Loan guarantees,Not specific,"To support the private sector, the government  has launched loan guarantees as follows: loan guarantees of up to 50 percent for large companies in all sectors (1 billion CVE); up to 80 percent for companies in the tourism and transport sectors (1 billion CVE); up to 100 percent for small-and medium-sized enterprises in all sectors (300 million CVE) and for micro-enterprises in all sectors (700 million CVE). In Cabo Verde, tourism-related sectors, such as accommodation and food services, account for 11.9% of women's employment compared to 5.4% of men's. ","https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#C;
https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2",NO,YES,NO,YES,YES,NO,NO
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Labour market,Reduced work time & telework,Not specific,"Parents (mothers and fathers) of a child under 3, if having the necessary logistical conditions, in consultation with their employer, can work from home to ensure the care of children under a teleworking regime. ",https://expressodasilhas.cv/pais/2020/03/24/governo-estabelece-teletrabalho-para-pais-de-criancas-que-frequentam-creches/68597 ; https://opais.cv/teletrabalho-aos-pais-que-exercem-poder-paternal-da-crianca-de-0-a-3-anos/24/03/2020/ ,NO,NO,YES,YES,YES,NO,NO
CPV,Cabo Verde,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,The 2020/2021 budget foresees a decrease in the TVA for the tourism sector (hotels and restaurants) of 10%. Food and accommodation services in Cabo Verde accounts for about 12% of women's employment compared to only 5% of men's. ,"https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://dtudo1pouco.com/cabo-verde-mantem-taxa-de-iva-de-10-para-o-turismo-no-proximo-ano/",NO,YES,NO,YES,YES,NO,NO
CMR,Cameroon,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"On 30 April, 2020, the president announced various tax exemptions and moratoria for businesses impacted by COVID-19 (especially in the tourism and catering industry). In Cameroon, tourism-related sectors, such as accommodation and food service activities, account for 8.3% of women's employment compared to 1.7% of men's. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; ,NO,YES,NO,YES,YES,NO,NO
CMR,Cameroon,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"Suspension of tourist tax in order to increase tourist stays, suspension of corporate tax for 2021. Accommodation and food services accounts for 8% of women's employment in Cameroon, compared to only 2% of men's. ","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://www.cameroon-tribune.cm/article.html/37399/fr.html/loi-de-finances-2021-de-grandes-innovations",NO,YES,NO,YES,YES,NO,NO
CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Labour market,Activation measures and enterprise development,Not specific,"The ""Fond d'appui aux acteurs du secteur informel"" (FASI) is a program that provides financing via loans to informal sector actors impacted by the COVID-19 health crisis. The FASI covers all the municipalities of Côte d'Ivoire impacted by COVID-19. Eligible beneficiaries include employees of informal production units who have suffered a loss of income, and Ivorian entrepreneurs in the informal sector who are engaged in an economic activity impacted by the pandemic, given that they provide supporting documentation. The program is divided into four phases : Phase 1: (3 months): Identification of beneficiaries and implementation of grants; Phase 2 (6 months): Training and follow-up-support for beneficiaries; Phase 3 (36 months): Recovery of loans granted and formalization of beneficiaries if applicable; Phase 4: sustainability of the Fund. In total, the program is estimated to cost 100 billion FCFA. At the end of June 2020, nearly 13,600 beneficiaries, more than 50 per cent of which were women, received assistance from the Informal Sector Support Fund (FASI).",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/281531621024684216/social-protection-and-jobs-responses-to-covid-19-a-real-time-review-of-country-measures-may-14-2399,NO,YES,NO,YES,NO,NO,NO
CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"The setting up of a private sector support fund for an amount of 250 billion XOF, of which 100 billion XOF will be dedicated to strengthen SMEs. Of the 100 billion XOF, 40 billion XOF will be dedicated to guarantee funds in order to facilitate the access to bank credits and 60 billion for the SMEs assistance funds. 100 billion XOF will be dedicated to a fund to support informal enterprises.  In Côte d’Ivoire, 90.7% of women work in the informal economy compared to 83.9% of men.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
http://www.gouv.ci/doc/1585949456Pandemie-du-coronavirus-COVID-19-Presentation-du-plan-de-soutien-economique-social-et-humanitaire.pdf ",NO,YES,NO,YES,NO,NO,NO
CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"COVID package includes four dedicated funds for (1) Large enterprises (150 billion XOF); (2) Small and Medium-sized enterprises (100 billion XOF); (3) the Informal sector (100 billion XOF); and  (4) a Solidarity Fund to support vulnerable populations (170 billion XOF). Within the fund for SMEs 40 billion XOF will be dedicated to guarantee funds in order to facilitate the access to bank credits and 60 billion XOF for the SMEs assistance funds. 100 billion XOF will be dedicated to a fund to support informal enterprises. UPDATE: In 2021, the Government allocated 110 billion XOF to the fund for the support of Enterprises (FSGE et FSPME). 91% of women are employed in the informal sector in Côte d’Ivoire.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://www.afdb.org/sites/default/files/documents/projects-and-operations/cote_divoire_-_covid-19_response_support_programme_-_project_appraisal_report.pdf",NO,YES,NO,YES,NO,NO,NO
CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"Deferral of three (3) months the payment of capital income tax (IRC) to tourism and hotel businesses that are experiencing difficulties. In Côte d’Ivoire, tourism-related activities, such as accommodation and food services, account for 10% of women's employment compared to 1% of men's.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
http://www.gouv.ci/doc/1585949456Pandemie-du-coronavirus-COVID-19-Presentation-du-plan-de-soutien-economique-social-et-humanitaire.pdf",NO,YES,NO,YES,YES,NO,NO
CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"Deferral for three months the payment of licenses for small traders and craftsmen (in particular restaurants, nightclubs, bars, cinemas and places of shows). In Côte d’Ivoire, accommodation and food service activities account for 10% of women's employment compared to 1% of men's.",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2; http://www.gouv.ci/doc/1585949456Pandemie-du-coronavirus-COVID-19-Presentation-du-plan-de-soutien-economique-social-et-humanitaire.pdf,NO,YES,NO,YES,YES,NO,NO
COD,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"The finance law 2020/2021 passed on December 2020 foresees subsidies of 62.3 billion CDF; transfers of up to 928.8 billion CDF and state interventions of up to 1.2 trillion CDF. The new budget also foresees an increase of the funds for promotion of culture, promotion of tourism and fund for the promotion of young miners. In the Democratic Republic of the Congo, there are 4.2 women employed in accommodation and food services for every 1 man. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
DJI,Djibouti,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"The authorities recently announced additional targeted measures to support businesses and households, including a halving of the minimum flat-rate tax and tax exemptions to the ICT, transport and tourism sectors. In the accommodation and food service industry in Djibouti, there are 1.6 women employed for every man. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
EGY,Egypt,Africa,Northern Africa,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"Medium, Small and Micro Enterprises agency has allocated a financing portfolio amounting to 5.4 billion EGP to finance projects for women in particular in border and upper governorates through a strategy for the advancement of Egyptian women projects and young graduates, and it is expected that 216 thousand micro-projects will be implemented over five years and 250 thousand jobs and projects will be funded through banks and civil society organizations that cooperate with the agency.","http://ncw.gov.eg/Images/PdfRelease/Forth%20Edition%20Women%20policy%20Tra-72020732524939.pdf;
http://ncw.gov.eg/Images/PdfRelease/Forth%20Edition%20Women%20policy%20Tra-72020732524939.pdf",NO,YES,NO,YES,NO,NO,NO
EGY,Egypt,Africa,Northern Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Tax adjustments: cuts, credits, deferrals or other changes",Not specific,"Decision N. 205 of 2020, granted companies and non-banking entities a 50% reduction in the development fee or service charge, according to the percentage of women they employ, which should not be less than 25% of the workforce. ","https://som.yale.edu/node/222278;
https://dailynewsegypt.com/2020/12/29/egypt-offers-incentives-for-non-banking-financial-activities-aimed-at-supporting-women/",NO,YES,NO,YES,NO,NO,NO
EGY,Egypt,Africa,Northern Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Loan guarantees,Not specific,"The Central Bank has approved an 100 billion EGP guarantee to cover lending at preferential rates to the manufacturing, agriculture and contracting loans. In Egypt, the agriculture sector accounts for 35% of women's employment compared to 20% of men's.","https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2;
https://english.ahram.org.eg/NewsContent/3/12/369614/Business/Economy/Egypt%E2%80%99s-Central-Bank-approves-EGP--bln-to-cover-ma.aspx",NO,YES,NO,YES,YES,NO,NO
EGY,Egypt,Africa,Northern Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Credit/loan deferral, restructuration or renegotiation",Not specific,"The Central Bank of Egypt's preferential interest rate has been reduced from 10 percent to 8 percent on loans to tourism, industry, agriculture and construction sectors. In Egypt, the agriculture sector accounts for 35% of women's employment compared to 20% of men's.",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
EGY,Egypt,Africa,Northern Africa,Labour market,Activation measures and enterprise development,Not specific,Ministry of Communication and Information Systems (ICT) launched a package of educational program for women to prepare them for labor market including new technological tools to help women in the areas of e-marketing and e-commerce to ensure they are empowered economically.,"http://ncw.gov.eg/Images/PdfRelease/Forth%20Edition%20Women%20policy%20Tra-72020732524939.pdf ;
https://read.oecd-ilibrary.org/view/?ref=134_134470-w95kmv8khl&title=COVID-19-crisis-in-the-MENA-region-impact-on-gender-equality-and-policy-responses ;
http://www.ictforwoman.gov.eg/initv_new.aspx ; https://www.ericsson.com/en/press-releases/5/2021/ericsson-leading-the-charge-for-girls-in-ict ;
http://ncw.gov.eg/Images/PdfRelease/Forth%20Edition%20Women%20policy%20Tra-72020732524939.pdf",NO,YES,NO,YES,NO,NO,NO
EGY,Egypt,Africa,Northern Africa,Labour market,Wage subsidy and income replacement for self-employed,Not specific,"The National Council for Women through its Women Business Development Center (WBDC) has connected with women from different governorates within its project (AL Mashghal) to produce masks that can be sold to the public, in accordance with the latest government decision that all citizens should wear masks in public spaces.",http://ncw.gov.eg/Images/PdfRelease/Forth%20Edition%20Women%20policy%20Tra-72020732524939.pdf ,NO,YES,NO,YES,NO,NO,NO
SWZ,Eswatini,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs","Equity injections: loans, grants or subsidies",Not specific,"The 45 million SZL MSME Revolving Relief Fund set up by Government to assist micro, small & medium businesses in the time of COVID19. The aim of the scheme is to provide easily accessible finance to cater for the operating expenses of MSMEs, both formal & informal, which have been affected by COVID-19. The informal sector accounts for 58% of women's employment compared to 52% of men's. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,NO,NO,NO
SWZ,Eswatini,Africa,Sub-Saharan Africa,"Economic, financial and fiscal support for businesses and entrepreneurs",Multiple measures ,Not specific,"In August 2020, Eswatini published its economic recovery plan which will roll out for 18 months. With a budget of 1.7 billion USD, the stimulus package will be earmarked for nearly 100 projects in tourism, agriculture, mining and manufacturing among other sectors. A minimum of 5 billion SZL will be directed toward micro, small and medium-sized enterprises. Manufacturing in Eswatini accounts for 19% of women's employment compared to 12% of men's. ",https://dataviz.worldbank.org/views/AID-COVID19/Overview?:embed=y&:isGuestRedirectFromVizportal=y&:display_count=n&:showAppBanner=false&:origin=viz_share_link&:showVizHome=n#2,NO,YES,NO,YES,YES,NO,NO
